DATE,TMAX,TMIN,PRCP,SNOW,SNWD,AWND,WDF2,WDF5,WSF2,WSF5,WT08,WT01,PGTM,WT03,WT02
20140101,133,50,0,0,0,4,280,280,40,45,,,,,
20140102,167,61,0,0,0,5,170,140,27,27,,,,,
20140103,178,67,0,0,0,18,290,290,63,72,,,,,
20140104,189,61,0,0,0,10,300,300,67,81,,,,,
20140105,189,67,0,0,0,22,70,70,63,67,,,,,
20140106,156,67,0,0,0,10,330,330,40,45,1,,,,
20140107,161,78,0,0,0,20,270,280,67,76,1,,,,
20140108,150,111,3,0,,42,280,270,89,107,,1,,,
20140109,156,111,0,0,0,52,280,290,112,139,,1,,,
20140110,156,89,0,0,0,26,280,280,67,76,,,,,
20140111,144,78,0,0,0,29,260,270,81,98,,,,,
20140112,156,78,0,0,0,30,270,340,76,89,,1,,,
20140113,194,56,0,0,0,12,60,60,81,98,,,,,
20140114,222,67,0,0,0,10,100,120,54,67,,,,,
20140115,228,89,0,0,0,12,130,130,45,58,,,,,
20140116,228,78,0,0,0,9,140,90,36,45,,,,,
20140117,194,72,0,0,0,5,190,220,22,31,1,,,,
20140118,194,61,0,0,0,5,40,330,31,54,1,,,,
20140119,194,61,0,0,0,9,10,10,31,31,1,,,,
20140120,189,61,0,0,0,8,280,280,40,40,1,,,,
20140121,200,61,0,0,0,9,280,280,54,58,,,,,
20140122,183,67,0,0,0,23,290,290,81,98,,,,,
20140123,206,67,0,0,0,21,50,70,76,94,1,,,,
20140124,178,78,0,0,0,11,270,270,40,40,1,,,,
20140125,183,89,0,0,0,8,280,280,54,58,,,,,
20140126,189,89,0,0,0,26,290,290,94,107,1,,,,
20140127,150,89,0,0,0,28,290,290,81,89,,,,,
20140128,183,117,0,0,0,24,280,270,76,94,,,,,
20140129,172,122,0,0,0,35,280,280,89,98,,1,,,
20140130,144,111,0,0,0,60,280,280,134,170,,,,,
20140131,156,83,0,0,0,55,280,280,143,170,,,,,
20140201,150,56,0,0,0,28,270,270,89,103,,,,,
20140202,144,83,216,0,0,55,120,120,130,148,,1,,,
20140203,133,78,0,0,0,49,280,270,112,143,,,,,
20140204,128,67,0,0,0,33,280,280,94,103,,,,,
20140205,128,61,23,0,0,32,280,270,76,107,,1,,,
20140206,111,89,163,0,0,31,120,130,89,103,,,,,
20140207,133,106,58,0,0,51,170,170,139,179,,1,,,
20140208,150,117,107,0,0,56,210,190,125,165,,1,,,
20140209,150,128,89,0,0,40,200,140,94,116,,1,,,
20140210,139,106,0,0,0,43,280,270,76,89,,1,,,
20140211,133,94,0,0,0,41,270,280,98,116,,,,,
20140212,133,78,0,0,0,26,280,290,81,98,,,,,
20140213,194,100,0,0,0,34,280,280,67,89,,,,,
20140214,189,133,0,0,0,22,260,290,63,72,,1,,,
20140215,167,111,0,0,0,24,180,180,76,94,,1,,,
20140216,172,100,3,0,0,36,270,280,89,103,,1,,,
20140217,161,78,0,0,0,45,280,280,94,112,,,,,
20140218,167,89,0,0,0,34,280,280,98,112,,1,,,
20140219,167,106,3,0,0,64,270,270,103,116,,1,,,
20140220,194,72,0,0,0,26,280,280,81,98,,,,,
20140221,206,83,0,0,0,32,280,270,98,116,,,,,
20140222,189,78,0,0,0,40,280,280,103,125,,,,,
20140223,172,78,0,0,0,34,280,280,103,116,,,,,
20140224,217,72,0,0,0,28,290,300,76,94,,,,,
20140225,167,89,0,0,0,29,200,200,89,103,,,,,
20140226,156,122,109,0,0,67,180,170,139,174,,1,,,
20140227,183,128,13,0,0,45,230,230,94,139,,1,,,
20140228,161,122,173,0,0,66,120,140,112,139,,,,,
20140301,172,117,36,0,0,39,130,140,98,130,,1,,,
20140302,156,111,8,0,0,29,230,240,76,98,,1,,,
20140303,156,100,20,0,0,31,130,130,94,107,,,,,
20140304,167,117,0,0,0,16,130,140,63,76,,1,,,
20140305,200,128,41,0,0,28,190,200,76,103,,1,,,
20140306,172,122,0,0,0,34,270,280,63,72,,1,,,
20140307,178,94,0,0,0,47,280,280,98,112,,,,,
20140308,194,89,0,0,0,26,290,290,72,81,,,,,
20140309,217,144,0,0,0,23,270,270,76,94,,,,,
20140310,189,128,0,0,0,49,280,280,98,112,,1,,,
20140311,206,133,0,0,0,39,30,30,125,139,,,,,
20140312,222,144,0,0,0,78,30,30,161,192,,,,,
20140313,244,117,0,0,0,38,280,270,112,125,,,,,
20140314,206,117,0,0,0,44,280,280,103,112,,,,,
20140315,244,106,0,0,0,34,300,290,98,116,,,,,
20140316,200,106,0,0,0,55,270,270,157,192,,,,,
20140317,189,111,0,0,0,62,280,270,125,139,,,,,
20140318,217,89,0,0,0,23,280,270,94,107,,,,,
20140319,228,94,0,0,0,27,270,270,89,98,,,,,
20140320,206,106,0,0,0,49,270,280,116,139,,,,,
20140321,183,94,0,0,0,32,290,290,98,112,,,,,
20140322,183,83,0,0,0,34,290,290,81,98,,,,,
20140323,178,94,0,0,0,35,290,280,94,107,,,,,
