DATE,TMAX,TMIN,PRCP,SNOW,SNWD,AWND,WDF2,WDF5,WSF2,WSF5,WT08,WT01,WT02
20150101,128,44,0,0,0,38,50,50,89,103,,,
20150102,111,33,0,0,0,7,290,40,31,103,1,,
20150103,122,33,0,0,0,7,10,70,31,67,1,1,
20150104,128,50,0,0,0,9,130,200,63,107,1,1,
20150105,150,61,0,0,0,11,180,30,31,45,1,1,
20150106,156,67,0,0,0,9,130,300,36,54,1,1,
20150107,156,72,0,0,0,9,140,110,31,45,1,1,
20150108,156,94,0,0,0,4,60,80,31,36,1,1,
20150109,172,106,0,0,0,16,290,290,58,72,1,1,
20150110,161,94,0,0,0,23,290,300,67,76,,1,
20150111,133,83,0,0,0,18,280,90,89,125,,1,1
20150112,167,83,0,0,0,19,280,270,81,98,,1,1
20150113,178,78,0,0,0,5,260,270,36,40,,1,1
20150114,144,61,0,0,0,7,50,60,40,40,1,1,
20150115,150,72,0,0,0,10,310,310,58,67,1,1,
20150116,144,89,0,0,0,13,30,30,40,45,1,1,
20150117,144,106,0,0,0,18,340,350,45,54,1,1,
20150118,161,117,0,0,0,12,290,280,45,54,,1,1
20150119,156,111,0,0,0,20,280,280,67,89,,1,1
20150120,161,94,0,0,0,16,280,,45,,,1,1
20150121,178,78,0,0,0,12,100,280,36,89,,1,
20150122,139,83,0,0,0,20,60,60,81,94,,,
20150123,194,72,0,0,0,9,290,60,54,98,1,1,
20150124,178,94,0,0,0,12,20,20,54,58,,,
20150125,172,94,0,0,0,12,20,310,54,112,,1,
20150126,178,89,0,0,0,12,20,20,58,63,,,
20150127,200,122,0,0,0,25,180,180,98,125,,,
20150128,178,94,0,0,0,18,280,280,67,76,,,
20150129,189,94,0,0,0,27,280,270,81,94,1,1,
20150130,178,100,0,0,0,26,290,290,89,107,,1,
20150131,233,89,0,0,0,22,290,330,81,112,,,
20150201,178,78,0,0,0,19,290,290,63,72,,,
20150202,189,94,0,0,0,11,290,290,45,54,1,1,
20150203,183,111,0,0,0,8,30,30,40,112,1,1,
20150204,178,100,0,0,0,25,180,180,72,94,1,1,
