id,latitude,longitude,name
AE000041196,25.3330,55.5170,"SHARJAH INTER. AIRP"
AEM00041194,25.2550,55.3640,"DUBAI INTL"
AEM00041217,24.4330,54.6510,"ABU DHABI INTL"
AEM00041218,24.2620,55.6090,"AL AIN INTL"
AG000060390,36.7167,3.2500,"ALGER-DAR EL BEIDA"
AG000060590,30.5667,2.8667,"EL-GOLEA"
AG000060611,28.0500,9.6331,"IN-AMENAS"
AGE00147708,36.7200,4.0500,"TIZI OUZOU"
AGE00147716,35.1000,-1.8500,"NEMOURS (GHAZAOUET)"
AGE00147718,34.8500,5.7200,"BISKRA"
AGE00147719,33.7997,2.8900,"LAGHOUAT"
AGM00060351,36.7950,5.8740,"JIJEL"
AGM00060355,36.9330,6.9500,"SKIKDA"
AGM00060360,36.8220,7.8090,"ANNABA"
AGM00060369,36.7670,3.1000,"ALGER-PORT"
AGM00060402,36.7120,5.0700,"SOUMMAM"
AGM00060403,36.4670,7.4670,"GUELMA"
AGM00060419,36.2760,6.6200,"MOHAMED BOUDIAF INTL"
AGM00060421,35.8670,7.1170,"OUM EL BOUAGHI"
AGM00060423,36.2830,7.9670,"SOUK AHRAS"
AGM00060425,36.2130,1.3320,"ECH CHELIFF"
AGM00060430,36.3000,2.2330,"MILIANA"
AGM00060437,36.2830,2.7330,"MEDEA"
AGM00060444,36.0670,4.7670,"BORDJ-BOU-ARRERIDJ"
AGM00060445,36.1780,5.3240,"SETIF AIN ARNAT"
AGM00060452,35.8170,-0.2670,"ARZEW"
AGM00060457,35.8830,0.1170,"MOSTAGANEM"
AGM00060461,35.7000,-0.6500,"ORAN-PORT"
AGM00060467,35.6670,4.5000,"M'SILA"
AGM00060468,35.5500,6.1830,"BATNA"
AGM00060475,35.4320,8.1210,"CHEIKH LARBI TEBESSI"
AGM00060490,35.6240,-0.6210,"ES SENIA"
AGM00060507,35.2080,0.1470,"GHRISS"
AGM00060511,35.3410,1.4630,"BOU CHEKIF"
AGM00060514,35.1670,2.3170,"KSAR CHELLALA"
AGM00060515,35.3330,4.2060,"BOU SAADA"
AGM00060518,35.3000,-1.3500,"BENI-SAF"
AGM00060520,35.2000,-0.6170,"SIDI-BEL-ABBES"
AGM00060522,34.8200,-1.7700,"MAGHNIA"
AGM00060531,35.0170,-1.4500,"ZENATA"
